script_fname,config_fname,log_fname,timeout
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0013-plants.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0013-plants,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0006-cwebkb.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0006-cwebkb,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0016-bnetflix.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0016-bnetflix,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0004-ad.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0004-ad,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0001-accidents.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0001-accidents,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0019-dna.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0019-dna,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0015-pumsb_star.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0015-pumsb_star,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0012-jester.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0012-jester,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0018-tretail.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0018-tretail,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0020-cr52.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0020-cr52,3600
/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/cli/fit/fit_mercs.py,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/config/0005-msnbc.json,/cw/dtaijupiter/NoCsBack/dtai/elia/aaai20/out/fit_mercs/md12-random-fit/logs/0005-msnbc,3600
