,q_idx,dataset,F1,missing_percentage,difficulty,algorithm
8,8,kr-vs-kp,0.7250000000000001,0.7567567567567568,8,it-new
9,9,kr-vs-kp,0.56875,0.8648648648648649,9,it-new
0,0,diabetes,0.6818181818181818,0.0,0,it-new
1,1,diabetes,0.6753246753246753,0.1111111111111111,2,it-new
2,2,diabetes,0.7012987012987013,0.2222222222222222,3,it-new
3,3,diabetes,0.7142857142857143,0.3333333333333333,4,it-new
4,4,diabetes,0.6753246753246753,0.4444444444444444,5,it-new
5,5,diabetes,0.6298701298701299,0.5555555555555556,6,it-new
6,6,diabetes,0.6493506493506493,0.6666666666666666,7,it-new
7,7,diabetes,0.6038961038961039,0.7777777777777778,8,it-new
0,0,letter,0.733,0.0,0,it-new
1,1,letter,0.7135,0.058823529411764705,1,it-new
2,2,letter,0.559,0.17647058823529413,2,it-new
3,3,letter,0.44425,0.23529411764705882,3,it-new
4,4,letter,0.3035,0.35294117647058826,4,it-new
5,5,letter,0.13375,0.47058823529411764,5,it-new
6,6,letter,0.11475,0.5294117647058824,6,it-new
7,7,letter,0.1245,0.6470588235294118,7,it-new
8,8,letter,0.09474999999999999,0.7058823529411765,8,it-new
9,9,letter,0.044750000000000005,0.8235294117647058,9,it-new
0,0,balance-scale,0.832,0.0,0,it-new
1,1,balance-scale,0.7840000000000001,0.2,2,it-new
2,2,balance-scale,0.704,0.4,4,it-new
3,3,balance-scale,0.64,0.6,6,it-new
