,q_idx,dataset,F1,missing_percentage,difficulty,algorithm
8,8,segment,0.36580086580086574,0.75,8,it-new
9,9,segment,0.2813852813852814,0.85,9,it-new
0,0,zoo,0.9047619047619048,0.0,0,it-new
1,1,zoo,0.9047619047619048,0.05555555555555555,1,it-new
2,2,zoo,0.8571428571428571,0.16666666666666666,2,it-new
3,3,zoo,0.8095238095238095,0.2777777777777778,3,it-new
4,4,zoo,0.8095238095238095,0.3333333333333333,4,it-new
5,5,zoo,0.8095238095238095,0.4444444444444444,5,it-new
6,6,zoo,0.6190476190476191,0.5555555555555556,6,it-new
7,7,zoo,0.7142857142857143,0.6111111111111112,7,it-new
8,8,zoo,0.38095238095238093,0.7222222222222222,8,it-new
9,9,zoo,0.38095238095238093,0.8333333333333334,9,it-new
0,0,heart-statlog,0.8333333333333334,0.0,0,it-new
1,1,heart-statlog,0.6296296296296297,0.07142857142857142,1,it-new
2,2,heart-statlog,0.7222222222222222,0.14285714285714285,2,it-new
3,3,heart-statlog,0.7592592592592593,0.21428571428571427,3,it-new
4,4,heart-statlog,0.7777777777777778,0.35714285714285715,4,it-new
5,5,heart-statlog,0.8148148148148148,0.42857142857142855,5,it-new
6,6,heart-statlog,0.7037037037037037,0.5,5,it-new
7,7,heart-statlog,0.7592592592592593,0.6428571428571429,7,it-new
8,8,heart-statlog,0.6296296296296297,0.7142857142857143,8,it-new
9,9,heart-statlog,0.4444444444444444,0.7857142857142857,8,it-new
0,0,waveform-5000,0.772,0.0,0,it-new
1,1,waveform-5000,0.763,0.0975609756097561,1,it-new
2,2,waveform-5000,0.745,0.1951219512195122,2,it-new
3,3,waveform-5000,0.713,0.2926829268292683,3,it-new
4,4,waveform-5000,0.708,0.3902439024390244,4,it-new
5,5,waveform-5000,0.667,0.4878048780487805,5,it-new
6,6,waveform-5000,0.501,0.5853658536585366,6,it-new
7,7,waveform-5000,0.547,0.6829268292682927,7,it-new
8,8,waveform-5000,0.53,0.7804878048780488,8,it-new
9,9,waveform-5000,0.499,0.8780487804878049,9,it-new
0,0,kr-vs-kp,0.9765625,0.0,0,it-new
1,1,kr-vs-kp,0.84375,0.08108108108108109,1,it-new
2,2,kr-vs-kp,0.8062499999999999,0.1891891891891892,2,it-new
3,3,kr-vs-kp,0.715625,0.2702702702702703,3,it-new
4,4,kr-vs-kp,0.734375,0.3783783783783784,4,it-new
5,5,kr-vs-kp,0.7140625,0.4864864864864865,5,it-new
6,6,kr-vs-kp,0.6859375,0.5675675675675675,6,it-new
7,7,kr-vs-kp,0.6421875,0.6756756756756757,7,it-new
8,8,kr-vs-kp,0.6515625,0.7567567567567568,8,it-new
9,9,kr-vs-kp,0.540625,0.8648648648648649,9,it-new
0,0,diabetes,0.6948051948051948,0.0,0,it-new
1,1,diabetes,0.7142857142857143,0.1111111111111111,2,it-new
2,2,diabetes,0.7142857142857143,0.2222222222222222,3,it-new
3,3,diabetes,0.6948051948051948,0.3333333333333333,4,it-new
4,4,diabetes,0.7012987012987013,0.4444444444444444,5,it-new
5,5,diabetes,0.6493506493506493,0.5555555555555556,6,it-new
6,6,diabetes,0.5584415584415584,0.6666666666666666,7,it-new
7,7,diabetes,0.7337662337662337,0.7777777777777778,8,it-new
0,0,letter,0.8087499999999999,0.0,0,it-new
1,1,letter,0.80725,0.058823529411764705,1,it-new
2,2,letter,0.7100000000000001,0.17647058823529413,2,it-new
3,3,letter,0.599,0.23529411764705882,3,it-new
4,4,letter,0.55125,0.35294117647058826,4,it-new
5,5,letter,0.29425,0.47058823529411764,5,it-new
6,6,letter,0.25375,0.5294117647058824,6,it-new
7,7,letter,0.15925,0.6470588235294118,7,it-new
8,8,letter,0.131,0.7058823529411765,8,it-new
9,9,letter,0.0495,0.8235294117647058,9,it-new
0,0,balance-scale,0.864,0.0,0,it-new
1,1,balance-scale,0.712,0.2,2,it-new
2,2,balance-scale,0.64,0.4,4,it-new
3,3,balance-scale,0.64,0.6,6,it-new
