,q_idx,dataset,F1,missing_percentage,difficulty,algorithm
7,7,zoo,0.19047619047619047,0.6111111111111112,7,mrai-new
8,8,zoo,0.047619047619047616,0.7222222222222222,8,mrai-new
9,9,zoo,0.047619047619047616,0.8333333333333334,9,mrai-new
0,0,heart-statlog,0.8333333333333334,0.0,0,mrai-new
1,1,heart-statlog,0.6111111111111112,0.07142857142857142,1,mrai-new
2,2,heart-statlog,0.5925925925925926,0.14285714285714285,2,mrai-new
3,3,heart-statlog,0.6296296296296297,0.21428571428571427,3,mrai-new
4,4,heart-statlog,0.6111111111111112,0.35714285714285715,4,mrai-new
5,5,heart-statlog,0.6111111111111112,0.42857142857142855,5,mrai-new
6,6,heart-statlog,0.6111111111111112,0.5,5,mrai-new
7,7,heart-statlog,0.6296296296296297,0.6428571428571429,7,mrai-new
8,8,heart-statlog,0.4444444444444444,0.7142857142857143,8,mrai-new
9,9,heart-statlog,0.4444444444444444,0.7857142857142857,8,mrai-new
0,0,waveform-5000,0.772,0.0,0,mrai-new
1,1,waveform-5000,0.763,0.0975609756097561,1,mrai-new
2,2,waveform-5000,0.747,0.1951219512195122,2,mrai-new
3,3,waveform-5000,0.736,0.2926829268292683,3,mrai-new
4,4,waveform-5000,0.632,0.3902439024390244,4,mrai-new
5,5,waveform-5000,0.679,0.4878048780487805,5,mrai-new
6,6,waveform-5000,0.527,0.5853658536585366,6,mrai-new
7,7,waveform-5000,0.486,0.6829268292682927,7,mrai-new
8,8,waveform-5000,0.5,0.7804878048780488,8,mrai-new
9,9,waveform-5000,0.473,0.8780487804878049,9,mrai-new
0,0,kr-vs-kp,0.9765625,0.0,0,mrai-new
1,1,kr-vs-kp,0.84375,0.08108108108108109,1,mrai-new
2,2,kr-vs-kp,0.8062499999999999,0.1891891891891892,2,mrai-new
3,3,kr-vs-kp,0.7250000000000001,0.2702702702702703,3,mrai-new
4,4,kr-vs-kp,0.73125,0.3783783783783784,4,mrai-new
5,5,kr-vs-kp,0.715625,0.4864864864864865,5,mrai-new
6,6,kr-vs-kp,0.70625,0.5675675675675675,6,mrai-new
7,7,kr-vs-kp,0.63125,0.6756756756756757,7,mrai-new
8,8,kr-vs-kp,0.7359375000000001,0.7567567567567568,8,mrai-new
9,9,kr-vs-kp,0.65625,0.8648648648648649,9,mrai-new
0,0,diabetes,0.6948051948051948,0.0,0,mrai-new
1,1,diabetes,0.7142857142857143,0.1111111111111111,2,mrai-new
2,2,diabetes,0.7142857142857143,0.2222222222222222,3,mrai-new
3,3,diabetes,0.6948051948051948,0.3333333333333333,4,mrai-new
4,4,diabetes,0.7012987012987013,0.4444444444444444,5,mrai-new
5,5,diabetes,0.7207792207792207,0.5555555555555556,6,mrai-new
6,6,diabetes,0.7207792207792207,0.6666666666666666,7,mrai-new
7,7,diabetes,0.7337662337662337,0.7777777777777778,8,mrai-new
0,0,letter,0.8087499999999999,0.0,0,mrai-new
1,1,letter,0.80725,0.058823529411764705,1,mrai-new
2,2,letter,0.6075,0.17647058823529413,2,mrai-new
3,3,letter,0.5035,0.23529411764705882,3,mrai-new
4,4,letter,0.4775,0.35294117647058826,4,mrai-new
5,5,letter,0.2975,0.47058823529411764,5,mrai-new
6,6,letter,0.119,0.5294117647058824,6,mrai-new
7,7,letter,0.1485,0.6470588235294118,7,mrai-new
8,8,letter,0.09825,0.7058823529411765,8,mrai-new
9,9,letter,0.0405,0.8235294117647058,9,mrai-new
0,0,balance-scale,0.864,0.0,0,mrai-new
1,1,balance-scale,0.712,0.2,2,mrai-new
2,2,balance-scale,0.64,0.4,4,mrai-new
3,3,balance-scale,0.64,0.6,6,mrai-new
